2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:19,464 - ERROR - Generic message '_read_template(instance_id=2103, object_definition_size=315)' failed: Insufficient Packet Space
2024-12-25 12:34:19,482 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,488 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,494 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,500 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,506 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,512 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,520 - ERROR - Generic message '_read_template(instance_id=324, object_definition_size=918)' failed: Insufficient Packet Space
2024-12-25 12:34:19,531 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:19,568 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:19,572 - ERROR - Generic message '_read_template(instance_id=745, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,577 - ERROR - Generic message '_read_template(instance_id=745, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,584 - ERROR - Generic message '_read_template(instance_id=745, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,614 - ERROR - Generic message '_read_template(instance_id=2366, object_definition_size=174)' failed: Insufficient Packet Space
2024-12-25 12:34:19,688 - ERROR - Generic message '_read_template(instance_id=3982, object_definition_size=221)' failed: Insufficient Packet Space
2024-12-25 12:34:19,855 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,855 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:20,099 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,110 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,188 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,203 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,280 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,287 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,363 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,369 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,466 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,470 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,541 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,561 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,632 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,649 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:20,901 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:20,904 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:20,923 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:20,934 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:20,982 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:21,021 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:21,368 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,386 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,395 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,416 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,439 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,485 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:21,486 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:21,487 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:21,506 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
